id;type;quantity;unit_cost;reference_id;created_date;product_id;warehouse_id
1;RECEIPT;90;25000000.00;1;2024-03-02 11:00:00;1;1
2;RECEIPT;100;35000000.00;2;2024-09-16 15:00:00;2;1
3;RECEIPT;50;22000000.00;3;2024-10-21 16:30:00;4;2
4;RECEIPT;100;25000000.00;4;2025-03-11 10:00:00;1;3
5;RECEIPT;200;22000000.00;5;2025-09-21 14:00:00;4;1
6;ISSUE;-1;32500000.00;1;2024-01-15 14:20:00;1;1
7;ISSUE;-1;5850000.00;2;2024-02-14 16:00:00;3;3
8;ISSUE;-1;195000.00;3;2024-03-20 11:30:00;6;2
9;ISSUE;-1;28600000.00;4;2024-04-12 15:45:00;4;3
10;ISSUE;-5;32500000.00;11;2024-11-11 08:00:00;1;1
11;ISSUE;-4;28600000.00;12;2024-11-25 11:30:00;4;3
12;ISSUE;-7;32500000.00;13;2024-12-12 10:00:00;1;2
13;TRANSFER_OUT;-20;0.00;1;2024-06-15 14:00:00;1;1
14;TRANSFER_IN;20;0.00;1;2024-06-15 14:00:00;1;2
15;TRANSFER_OUT;-30;0.00;2;2024-11-20 16:00:00;2;1
16;TRANSFER_IN;30;0.00;2;2024-11-20 16:00:00;2;3
