id;quantity;unit_price;discount_percent;product_id;sales_order_id
1;1;32500000.00;0.00;1;1
2;1;5850000.00;0.00;3;2
3;1;195000.00;0.00;6;3
4;1;28600000.00;0.00;4;4
5;1;6500000.00;0.00;7;5
6;1;7800000.00;0.00;8;6
7;1;9100000.00;0.00;9;7
8;1;36400000.00;0.00;10;8
9;1;45500000.00;0.00;2;9
10;1;39000000.00;0.00;5;10
11;5;32500000.00;0.00;1;11
12;4;28600000.00;0.00;4;12
13;7;32500000.00;0.00;1;13
14;5;28600000.00;0.00;4;14
15;4;32500000.00;0.00;1;15
16;20;5850000.00;0.00;3;16
17;4;36400000.00;0.00;10;17
18;1;32500000.00;0.00;1;18
19;1;5850000.00;0.00;3;19
20;1;28600000.00;0.00;4;20
21;1;6500000.00;0.00;7;21
22;1;7800000.00;0.00;8;22
23;1;9100000.00;0.00;9;23
24;1;36400000.00;0.00;10;24
25;1;45500000.00;0.00;2;25
26;6;32500000.00;0.00;1;26
27;5;28600000.00;0.00;4;27
28;8;32500000.00;0.00;1;28
29;6;28600000.00;0.00;4;29
30;5;32500000.00;0.00;1;30
31;5;28600000.00;0.00;4;31
32;6;28600000.00;0.00;4;32
33;1;32500000.00;0.00;1;33
34;1;45500000.00;0.00;2;34
35;1;28600000.00;0.00;4;35
36;1;32500000.00;0.00;1;36
37;2;36400000.00;0.00;10;37
38;1;5850000.00;0.00;3;38
