id;code;name;phone;current_debt;is_active
1;Croatian Springs Cambridgeshire;International Seychelles;1-561-517-3781 x80506;34390;true
2;Kids hack;USB Avon Granite;397.986.7735;28671;true
3;paradigms Trail;Account Soft;1-872-641-4234 x25104;68723;true
4;Steel;Tuvalu Officer Ball;(352) 356-1402 x50193;24940;true
5;granular;Account e-business pixel;(628) 897-5031 x36272;29475;true
6;Associate adapter deposit;Tools Investor compressing;(209) 373-7885 x2976;42814;true
7;Auto;Forward backing Baby;640.820.2685;486;true
8;Clothing;Rustic;1-938-291-0550;43826;true
9;system Cambridgeshire Cambridgeshire;Alley olive;696.528.8757;20530;true
10;THX;Account portals;(206) 781-7730 x3648;18637;true
