id;transfer_code;status;employee_id;created_by;created_date;last_modified_by;last_modified_date
1;models Taiwan;CANCELLED;1;system;2026-05-26 00:00:00;system;2026-05-26 00:00:00
2;black California Bike;DRAFT;1;system;2026-05-26 00:00:00;system;2026-05-26 00:00:00
3;proactive;PROCESSING;1;system;2026-05-26 00:00:00;system;2026-05-26 00:00:00
4;port;COMPLETED;1;system;2026-05-26 00:00:00;system;2026-05-26 00:00:00
5;Accountability;APPROVED;1;system;2026-05-26 00:00:00;system;2026-05-26 00:00:00
6;Granite;APPROVED;1;system;2026-05-26 00:00:00;system;2026-05-26 00:00:00
7;SMTP;APPROVED;1;system;2026-05-26 00:00:00;system;2026-05-26 00:00:00
8;Awesome GB extend;CANCELLED;1;system;2026-05-26 00:00:00;system;2026-05-26 00:00:00
9;attitude XSS;PROCESSING;1;system;2026-05-26 00:00:00;system;2026-05-26 00:00:00
10;Valley;APPROVED;1;system;2026-05-26 00:00:00;system;2026-05-26 00:00:00
