id;code;name;address;is_active
1;Buckinghamshire back-end Som;moratorium Vatu;connect navigate Pizza;true
2;Tunisia;incentivize;streamline bandwidth rich;true
3;Fish invoice;optical Keyboard withdrawal;Analyst;true
4;Assurance;invoice;bus;true
5;Cyprus Intranet Cambridgeshire;Director incubate;loyalty Versatile;true
6;emulation;Marketing;users input indexing;true
7;Gloves;Leone Cotton;withdrawal vortals system;true
8;web Ergonomic Soft;Internal;Avon;true
9;ADP;Organic Radial schemas;Shoes Loan Account;true
10;website;Small Small matrix;SAS Run collaborative;true
